feature,importance,importance_cum
num__pm25,0.09908360953369841,0.09908360953369841
num__pm25_lag1,0.08450143332251309,0.1835850428562115
num__pm25_roll_mean168,0.07635355521641499,0.2599385980726265
num__pm25_roll_mean24,0.06629100777715756,0.32622960584978405
num__pm25_roll_mean72,0.06297378025691568,0.38920338610669974
num__pm25_lag24,0.05281245308127019,0.44201583918796994
num__nbr_pm25_mean_lag1,0.04898155350503006,0.490997392693
num__pm25_lag48,0.04759933175213453,0.5385967244451345
num__pm25_lag2,0.04699421070127708,0.5855909351464116
num__pm25_lag168,0.04523519227733443,0.630826127423746
num__pm25_lag72,0.03762296351040712,0.6684490909341532
num__pm25_lag3,0.0348875137311569,0.7033366046653101
num__nbr_pm25_mean_lag24,0.0329119362157392,0.7362485408810493
num__pm25_roll_std168,0.02822494359591458,0.7644734844769638
num__pm25_roll_std72,0.02817305760695416,0.792646542083918
num__month,0.025990753558862042,0.8186372956427801
num__hour,0.024508645321361995,0.8431459409641421
num__pm25_roll_std24,0.023479095481933013,0.8666250364460751
num__pm25_lag6,0.02326662245672177,0.8898916589027969
num__pm25_lag12,0.022736813762948973,0.9126284726657459
num__dow,0.019022830095408092,0.9316513027611539
num__is_weekend,0.0063050313581500764,0.937956334119304
num__pm10_roll_mean24,0.004215787506425736,0.9421721216257297
num__pm10,0.004052391854950163,0.9462245134806799
num__pm10_lag1,0.003740687255381704,0.9499652007360616
num__o3_roll_mean24,0.0035971562562235747,0.9535623569922852
num__pm10_lag24,0.003265157072550829,0.956827514064836
num__o3_lag24,0.0028568579585015234,0.9596843720233376
num__o3,0.0028534110808042263,0.9625377831041418
num__o3_lag1,0.0027858627649577105,0.9653236458690996
cat__station_id_MED-SELE,0.002533636058627339,0.9678572819277269
num__tair_10m,0.002345196529184197,0.9702024784569111
num__rh_10m,0.0023315937653675964,0.9725340722222787
num__wind_dir,0.0019866118226867066,0.9745206840449654
cat__station_id_MED-BEME,0.0019856549880112573,0.9765063390329767
num__press,0.001840020989168677,0.9783463600221454
num__wind_speed,0.0016913379727945491,0.9800376979949399
cat__station_id_CEN-TRAF,0.0016639323737624365,0.9817016303687023
num__r_global,0.0016379919979168807,0.9833396223666192
cat__station_id_MED-ARAN,0.001331494381972224,0.9846711167485914
cat__station_id_CAL-JOAR,0.0013277681168042926,0.9859988848653957
cat__station_id_MED-ALTA,0.0012743024461997017,0.9872731873115954
cat__station_id_MED-VILL,0.0012375571958246044,0.98851074450742
cat__station_id_BAR-TORR,0.001098906403994431,0.9896096509114145
cat__station_id_SAB-RAME,0.001038635302676353,0.9906482862140908
cat__station_id_EST-HOSP,0.0010134774964512296,0.991661763710542
cat__station_id_MED-LAYE,0.0009332303769023107,0.9925949940874443
cat__station_id_COP-CVID,0.0009247122805567502,0.9935197063680011
num__has_o3,0.0009139577643528237,0.9944336641323539
num__has_pm10,0.0009138101545256778,0.9953474742868795
