station_id,coverage_pm25,coverage_pm10,coverage_o3,coverage_tair_10m,coverage_rh_10m,coverage_press,coverage_r_global,coverage_wind_speed,coverage_wind_dir
BAR-TORR,0.936169403892944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL-FEVE,0.9538663321167883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAL-JOAR,0.95869449513382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEN-TRAF,0.9484489051094891,0.9416818734793188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP-CVID,0.968769008515815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENV-HOSP,0.9652904501216545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST-HOSP,0.9759922445255474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-CJUS,0.9722095498783455,0.0,0.0,0.9647201946472019,0.9647201946472019,0.9647201946472019,0.9633515815085159,0.9647201946472019,0.9627813260340633
ITA-CONC,0.9507679440389294,0.9192708333333334,0.9216088807785888,0.0,0.0,0.0,0.0,0.0,0.0
MED-ALTA,0.9507109184914841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-ARAN,0.9628763686131387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-BEME,0.9678375912408759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-LAYE,0.8501368613138687,0.0,0.8270985401459854,0.0,0.0,0.0,0.0,0.0,0.0
MED-SCRI,0.9562043795620438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-SELE,0.9111351885644768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-TESO,0.9569457116788321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-VILL,0.9511671228710462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAB-RAME,0.954018400243309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
