variable,coverage_non_na
MED-LAYE__O3,0.8270985401459854
MED-LAYE__PM2.5,0.8501368613138687
MED-UDEM__O3,0.8687652068126521
MED-SELE__PM2.5,0.9111351885644768
ITA-CONC__PM10,0.9192708333333334
ITA-CONC__O3,0.9216088807785888
BAR-TORR__PM2.5,0.936169403892944
CEN-TRAF__PM10,0.9416818734793188
MED-MIRA__O3,0.9432025547445255
BAR-PDLA__O3,0.9435066909975669
CEN-TRAF__PM2.5,0.9484489051094891
MED-ALTA__PM2.5,0.9507109184914841
ITA-CONC__PM2.5,0.9507679440389294
MED-VILL__PM2.5,0.9511671228710462
MED-PJIC__PM10,0.9525547445255474
BEL-FEVE__PM2.5,0.9538663321167883
SAB-RAME__PM2.5,0.954018400243309
BEL-USBV__DViento_SSR,0.9554820559610706
MED-SCRI__PM2.5,0.9562043795620438
MED-EXSA__PM10,0.9562994221411192
MED-TESO__PM2.5,0.9569457116788321
BEL-USBV__TAire10_SSR,0.9586564781021898
BEL-USBV__P_SSR,0.9586564781021898
BEL-USBV__RGlobal_SSR,0.9586564781021898
BEL-USBV__VViento_SSR,0.9586564781021898
CAL-JOAR__PM2.5,0.95869449513382
BEL-USBV__PM10,0.9592837591240876
ITA-CJUS__DViento_SSR,0.9627813260340633
MED-ARAN__PM2.5,0.9628763686131387
ITA-CJUS__RGlobal_SSR,0.9633515815085159
ITA-CJUS__HAire10_SSR,0.9647201946472019
ITA-CJUS__VViento_SSR,0.9647201946472019
ITA-CJUS__P_SSR,0.9647201946472019
ITA-CJUS__TAire10_SSR,0.9647201946472019
ENV-HOSP__PM2.5,0.9652904501216545
MED-BEME__PM2.5,0.9678375912408759
COP-CVID__PM2.5,0.968769008515815
ITA-CJUS__PM2.5,0.9722095498783455
BEL-USBV__O3,0.9730839416058394
ITA-POGO__PM10,0.9739393248175182
EST-HOSP__PM2.5,0.9759922445255474
