horizon_h,n_eval,rmse,r2,split
1,283057,6.874236343533354,0.5179252380353023,test
2,281336,8.347279314123144,0.29190949125157695,test
3,280330,9.434685104090157,0.0970426287439573,test
4,279751,10.246995054676772,-0.06414394413348545,test
5,279428,10.838623153678759,-0.1902446888673146,test
6,279250,11.231531180667243,-0.2792177876436961,test
7,279064,11.476188796538912,-0.3342676580507611,test
8,278955,11.571637494406456,-0.3569755906698593,test
9,278905,11.575805988920859,-0.3577435706632306,test
10,278859,11.530298298338945,-0.3450789508151135,test
11,278819,11.472264587766237,-0.3308041192838995,test
12,278851,11.45616420962906,-0.3287227514289419,test
13,278807,11.532904127569141,-0.34802459991749735,test
14,278831,11.660270346763847,-0.3797911268892049,test
15,278891,11.79309869612019,-0.41482685500977334,test
16,278935,11.898342534211418,-0.44387555853273275,test
17,279020,11.922180720690758,-0.4522022805523511,test
18,279199,11.843380956299987,-0.4335593696788027,test
19,279376,11.679902069640821,-0.39319176597406913,test
20,279703,11.375680077627942,-0.32067042333956053,test
21,280284,10.969865427761606,-0.2284441661996075,test
22,281305,10.517708231781077,-0.12892264484016058,test
23,283050,10.110594461040334,-0.04434288449845081,test
24,288083,9.925012603973984,-0.0034299825166219655,test
1,131677,6.810971435333785,0.6142956131418893,val
2,130778,8.351347223608514,0.4238021355330188,val
3,130251,9.521426185647071,0.2533280658222531,val
4,129943,10.393576074083759,0.11191483637233934,val
5,129768,11.047555643067913,-0.0027160789677045383,val
6,129638,11.508106460820162,-0.08781779932854183,val
7,129500,11.776020663802104,-0.13940921548424878,val
8,129471,11.920893770798273,-0.16634838111011918,val
9,129461,11.949413917077738,-0.17374744627818872,val
10,129379,11.880442013552178,-0.16068632183777742,val
11,129373,11.789103797284339,-0.14482537990090605,val
12,129354,11.785579226019683,-0.14319872450528526,val
13,129370,11.854643014212519,-0.15665769916307348,val
14,129378,11.98007303867819,-0.1885278368374934,val
15,129453,12.094962221016312,-0.2149132071326465,val
16,129466,12.169437732467731,-0.23292080875248167,val
17,129476,12.161819163839672,-0.22986263483606773,val
18,129609,12.063567478189368,-0.20946509374616173,val
19,129722,11.843729174354351,-0.16567803151917437,val
20,129898,11.478328645697198,-0.09564416605243986,val
21,130210,11.031667700437257,-0.012470278905592602,val
22,130732,10.509934624826794,0.08009279535889435,val
23,131647,10.051644722467154,0.15833827259819788,val
24,135040,9.851517824248807,0.19594890863106929,val
