feature,importance_mean,importance_std,importance_pos,importance_share,importance_cum
pm25,0.31166167580965426,0.002168029531947053,0.31166167580965426,0.24494382308548704,0.24494382308548704
hour,0.12293310150094108,0.0012770745436637761,0.12293310150094108,0.09661663978148953,0.34156046286697656
pm25_roll_mean168,0.10675459393505467,0.00221594736589341,0.10675459393505467,0.08390148805578948,0.42546195092276606
pm25_lag48,0.0983296349815049,0.002470101245923243,0.0983296349815049,0.07728007189976155,0.5027420228225277
pm25_lag1,0.08662604512388868,0.0007423202043361317,0.08662604512388868,0.06808188596271394,0.5708239087852416
pm25_lag24,0.07742612679903119,0.0016136177012058086,0.07742612679903119,0.06085140707656077,0.6316753158618024
dow,0.062424740329809936,0.0039041459093571884,0.062424740329809936,0.04906138848088932,0.6807367043426917
pm25_lag72,0.06128184166581167,0.00415455820464959,0.06128184166581167,0.04816315173929519,0.7288998560819869
month,0.05867447883979597,0.003592218385387515,0.05867447883979597,0.04611395073594397,0.7750138068179309
pm25_lag168,0.05723471469091912,0.003385969941031811,0.05723471469091912,0.044982398920818956,0.8199962057387498
station_id,0.039226632452921,0.0008911326591382072,0.039226632452921,0.0308293321430253,0.8508255378817751
pm25_roll_mean24,0.03859555710374831,0.0006065957657438417,0.03859555710374831,0.030333351980306244,0.8811588898620814
is_weekend,0.02947348036807007,0.003014616961853575,0.02947348036807007,0.02316405102499452,0.9043229408870759
nbr_pm25_mean_lag1,0.028247149567235043,0.002049863027711282,0.028247149567235043,0.022200242581291368,0.9265231834683673
pm25_lag2,0.024033543708807413,0.00043220774276845464,0.024033543708807413,0.01888864924772726,0.9454118327160945
pm25_roll_mean72,0.020572176375188888,0.003006271160268086,0.020572176375188888,0.016168261681315167,0.9615800943974097
pm25_lag3,0.007806412079118275,0.0006822508199714572,0.007806412079118275,0.006135282479863776,0.9677153768772734
nbr_pm25_mean_lag24,0.006828738615608643,0.0011292009855393352,0.006828738615608643,0.005366900948001845,0.9730822778252752
pm25_lag12,0.005090680553326621,0.0005123460574669034,0.005090680553326621,0.0040009114165205275,0.9770831892417957
pm25_roll_std72,0.004138738974117651,0.0013013175155332853,0.004138738974117651,0.0032527533083420617,0.9803359425501378
pm25_lag6,0.0038314731378582324,0.0003057081031212663,0.0038314731378582324,0.0030112643012595625,0.9833472068513973
pm25_roll_std24,0.00381651046954552,0.0007414541294507096,0.00381651046954552,0.0029995047123702497,0.9863467115637675
pm10,0.0029796079834564894,0.00029458758200374155,0.0029796079834564894,0.002341759117054915,0.9886884706808224
r_global,0.0028958336486304857,0.00027603605811071097,0.0028958336486304857,0.0022759184717608895,0.9909643891525833
pm10_lag24,0.002070098500471751,0.0002942819869794792,0.002070098500471751,0.001626949606658624,0.992591338759242
tair_10m,0.0014920069223519406,0.00016374407768859247,0.0014920069223519406,0.0011726109046981358,0.9937639496639401
has_pm10,0.0014325892262618822,0.00020208820070076718,0.0014325892262618822,0.0011259128382726722,0.9948898625022128
pm10_lag1,0.0012779839080780063,0.0001728339493879479,0.0012779839080780063,0.001004404097722758,0.9958942665999355
o3_roll_mean24,0.001105515258661427,0.0004004510277253336,0.001105515258661427,0.0008688560543493132,0.9967631226542848
rh_10m,0.001038326057472716,0.00029219078251226793,0.001038326057472716,0.0008160501398381105,0.9975791727941229
pm10_roll_mean24,0.0010355230441980723,0.00029584932879215344,0.0010355230441980723,0.0008138471715524945,0.9983930199656754
wind_dir,0.000679802311908162,0.00021007251064840337,0.000679802311908162,0.0005342760760961675,0.9989272960417716
press,0.0005792036359050457,0.00012622588163624789,0.0005792036359050457,0.0004552126999735577,0.9993825087417451
o3_lag1,0.0003716906855569135,0.00010837091013115373,0.0003716906855569135,0.0002921223383948569,0.9996746310801399
pm25_roll_std168,0.0002712798536162353,0.000909420918532395,0.0002712798536162353,0.00021320659429237916,0.9998878376744322
has_o3,0.0001427131246204638,0.00010933448646388802,0.0001427131246204638,0.00011216232556729745,0.9999999999999996
wind_speed,-0.00026436442643191783,0.00015368998258712978,0.0,0.0,0.9999999999999996
o3_lag24,-0.00029407590791166174,0.00018704658796796656,0.0,0.0,0.9999999999999996
o3,-0.00033563375523950614,0.00015160387418268272,0.0,0.0,0.9999999999999996
